# THESIS Fig 18(b) = article Fig 4(c): seven-quark contribution to the lightest N=3 baryon, 2K=15
# digitized from Phys. Rev. D 41, 3814 (1990), PDF page 89 at 600 dpi
# see the companion .json for full calibration provenance
x,y,filled,k,x_raw
0.066667,10.223946,1,1,0.066874
0.066667,5.355163,1,1,0.066884
0.066667,10.219866,0,1,0.071726
0.200000,3.992498,1,3,0.198360
0.200000,6.092090,1,3,0.199425
0.200000,5.960839,1,3,0.200584
0.333333,1.783467,1,5,0.327084
0.333333,2.769183,1,5,0.330548
0.333333,1.758881,0,5,0.333021
0.466667,1.964227,1,7,0.459227
0.466667,1.946986,0,7,0.465941
0.600000,0.082717,1,9,0.597893
0.733333,11.027041,1,11,0.742190
0.733333,11.097026,0,11,0.747514
0.866667,11.102449,1,13,0.850306
0.866667,0.074032,1,13,0.864781
